Model: "sequential_1"
_________________________________________________________________
Layer (type)                 Output Shape              Param #
=================================================================
flatten_1 (Flatten)          (None, 8)                 0
_________________________________________________________________
dense_4 (Dense)              (None, 16)                144
_________________________________________________________________
activation_4 (Activation)    (None, 16)                0
_________________________________________________________________
dense_5 (Dense)              (None, 32)                544
_________________________________________________________________
activation_5 (Activation)    (None, 32)                0
_________________________________________________________________
dense_6 (Dense)              (None, 4)                 132
_________________________________________________________________
activation_6 (Activation)    (None, 4)                 0
=================================================================
Total params: 820
Trainable params: 820
Non-trainable params: 0
_________________________________________________________________
None
C:\Users\nguye\anaconda3\lib\site-packages\tensorflow\python\keras\engine\training.py:2325: UserWarning: `Model.state_updates` will be removed in a future version. This property should not be used in TensorFlow 2.0, as `updates` are applied automatically.
  warnings.warn('`Model.state_updates` will be removed in a future version. '
C:\Users\nguye\anaconda3\lib\site-packages\rl\memory.py:37: UserWarning: Not enough entries to sample without replacement. Consider increasing your warm-up phase to avoid oversampling!
  warnings.warn('Not enough entries to sample without replacement. Consider increasing your warm-up phase to avoid oversampling!')
Training for 200000 steps ...
     58/200000: episode: 1, duration: 0.830s, episode steps:  58, steps per second:  70, episode reward: -137.810, mean reward: -2.376 [-100.000, 13.098], mean action: 1.345 [0.000, 3.000],  loss: 0.828940, mae: 0.588459, mean_q: 0.434828, mean_eps: 0.999847
    174/200000: episode: 2, duration: 0.735s, episode steps: 116, steps per second: 158, episode reward: -174.664, mean reward: -1.506 [-100.000, 21.227], mean action: 1.397 [0.000, 3.000],  loss: 39.768968, mae: 0.944148, mean_q: 0.068919, mean_eps: 0.999480
    243/200000: episode: 3, duration: 0.450s, episode steps:  69, steps per second: 154, episode reward: -250.331, mean reward: -3.628 [-100.000, 119.312], mean action: 1.580 [0.000, 3.000],  loss: 40.619907, mae: 1.318164, mean_q: -0.633112, mean_eps: 0.999064
    323/200000: episode: 4, duration: 0.539s, episode steps:  80, steps per second: 149, episode reward: -130.735, mean reward: -1.634 [-100.000, 14.418], mean action: 1.562 [0.000, 3.000],  loss: 66.042969, mae: 2.300614, mean_q: -1.365693, mean_eps: 0.998729
    380/200000: episode: 5, duration: 0.421s, episode steps:  57, steps per second: 135, episode reward: -88.244, mean reward: -1.548 [-100.000, 45.006], mean action: 1.404 [0.000, 3.000],  loss: 72.217925, mae: 2.890753, mean_q: -1.611851, mean_eps: 0.998420
    460/200000: episode: 6, duration: 0.558s, episode steps:  80, steps per second: 143, episode reward: -156.139, mean reward: -1.952 [-100.000,  7.475], mean action: 1.587 [0.000, 3.000],  loss: 81.472211, mae: 3.031369, mean_q: -1.648979, mean_eps: 0.998112
    524/200000: episode: 7, duration: 0.517s, episode steps:  64, steps per second: 124, episode reward: -102.527, mean reward: -1.602 [-100.000, 13.269], mean action: 1.781 [0.000, 3.000],  loss: 64.480543, mae: 2.963772, mean_q: -1.137237, mean_eps: 0.997788
    615/200000: episode: 8, duration: 0.672s, episode steps:  91, steps per second: 135, episode reward: -67.182, mean reward: -0.738 [-100.000, 10.525], mean action: 1.538 [0.000, 3.000],  loss: 59.385321, mae: 2.845627, mean_q: -1.243333, mean_eps: 0.997439
    698/200000: episode: 9, duration: 0.632s, episode steps:  83, steps per second: 131, episode reward: -122.763, mean reward: -1.479 [-100.000,  8.820], mean action: 1.590 [0.000, 3.000],  loss: 64.132779, mae: 2.836181, mean_q: -1.004089, mean_eps: 0.997048
    801/200000: episode: 10, duration: 0.855s, episode steps: 103, steps per second: 121, episode reward: -5.204, mean reward: -0.051 [-100.000, 102.956], mean action: 1.379 [0.000, 3.000],  loss: 56.090501, mae: 3.012650, mean_q: -0.692892, mean_eps: 0.996629
    881/200000: episode: 11, duration: 0.768s, episode steps:  80, steps per second: 104, episode reward: -267.635, mean reward: -3.345 [-100.000,  3.596], mean action: 1.550 [0.000, 3.000],  loss: 57.760742, mae: 3.565291, mean_q: -0.330827, mean_eps: 0.996218
    957/200000: episode: 12, duration: 0.631s, episode steps:  76, steps per second: 120, episode reward: -103.011, mean reward: -1.355 [-100.000,  7.199], mean action: 1.250 [0.000, 3.000],  loss: 34.584949, mae: 4.062293, mean_q: -0.265727, mean_eps: 0.995867
   1042/200000: episode: 13, duration: 0.558s, episode steps:  85, steps per second: 152, episode reward: -104.862, mean reward: -1.234 [-100.000, 11.137], mean action: 1.424 [0.000, 3.000],  loss: 40.225865, mae: 4.528921, mean_q: 0.011615, mean_eps: 0.995505
   1110/200000: episode: 14, duration: 0.501s, episode steps:  68, steps per second: 136, episode reward: -250.500, mean reward: -3.684 [-100.000, 69.213], mean action: 1.500 [0.000, 3.000],  loss: 29.403668, mae: 4.780577, mean_q: 0.420042, mean_eps: 0.995160
   1233/200000: episode: 15, duration: 0.816s, episode steps: 123, steps per second: 151, episode reward: -181.081, mean reward: -1.472 [-100.000,  2.852], mean action: 1.423 [0.000, 3.000],  loss: 39.119410, mae: 6.142218, mean_q: 0.124396, mean_eps: 0.994731
   1323/200000: episode: 16, duration: 0.690s, episode steps:  90, steps per second: 130, episode reward: -129.429, mean reward: -1.438 [-100.000,  9.170], mean action: 1.544 [0.000, 3.000],  loss: 34.390587, mae: 6.546011, mean_q: 0.856903, mean_eps: 0.994251
   1407/200000: episode: 17, duration: 0.584s, episode steps:  84, steps per second: 144, episode reward: -383.732, mean reward: -4.568 [-100.000, 40.329], mean action: 1.369 [0.000, 3.000],  loss: 32.637505, mae: 7.538412, mean_q: 1.070775, mean_eps: 0.993860
   1495/200000: episode: 18, duration: 0.551s, episode steps:  88, steps per second: 160, episode reward: -355.524, mean reward: -4.040 [-100.000, 57.813], mean action: 1.409 [0.000, 3.000],  loss: 25.855584, mae: 8.031558, mean_q: 1.177026, mean_eps: 0.993473
   1601/200000: episode: 19, duration: 0.703s, episode steps: 106, steps per second: 151, episode reward: -153.488, mean reward: -1.448 [-100.000, 16.611], mean action: 1.566 [0.000, 3.000],  loss: 31.955817, mae: 9.597129, mean_q: -0.471087, mean_eps: 0.993036
